X,Y,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,longitude,latitude,icon_url
36.89674,-6.98714,Nyameni,,,,,,"-1","0","-1",,,36.8967,-6.98714,
38.68225,-10.730944,Namajani,,,,,,"-1","0","-1",,,38.6823,-10.7309,
35.53811111,-3.68669444,Masizda,,,,,,"-1","0","-1",,,35.5381,-3.68669,
36.10587,-2.71615,Gelai Meirugoi,,,,,,"-1","0","-1",,,36.1059,-2.71615,
35.42431,-3.67018,Gembakw,,,,,,"-1","0","-1",,,35.4243,-3.67018,
36.38748,-4.72937,Irukushbo,,,,,,"-1","0","-1",,,36.3875,-4.72937,
35.53614,-2.39748,Lamnyani B Hill,,,,,,"-1","0","-1",,,35.5361,-2.39748,
36.67421,-4.67696,Makame (Tyakunini,,,,,,"-1","0","-1",,,36.6742,-4.67696,
38.60374,-7.41073,Mtunani,,,,,,"-1","0","-1",,,38.6037,-7.41073,
38.89491,-7.73156,Kibiti RS,,,,,,"-1","0","-1",,,38.8949,-7.73156,
36.99332,-10.99631,Mbatamila,,,,,,"-1","0","-1",,,36.9933,-10.9963,
37.77055,-10.94284,Tulieni,,,,,,"-1","0","-1",,,37.7706,-10.9428,
37.35044,-11.60569,Makande,,,,,,"-1","0","-1",,,37.3504,-11.6057,
37.11287,-10.96621,Kitalo,,,,,,"-1","0","-1",,,37.1129,-10.9662,
36.09608,-10.92485,Ligera,,,,,,"-1","0","-1",,,36.0961,-10.9248,
36.88511,-11.33343,Masuguru (Airtel),,,,,,"-1","0","-1",,,36.8851,-11.3334,
36.931806,-10.751972,Milonde,,,,,,"-1","0","-1",,,36.9318,-10.752,
34.47773,-5.04754,Makilawa Dispensary,,,,,,"-1","0","-1",,,34.4777,-5.04754,
34.13457,-4.64842,Masimba,,,,,,"-1","0","-1",,,34.1346,-4.64842,
38.87148,-5.41613,Mseko,,,,,,"-1","0","-1",,,38.8715,-5.41613,
35.6277,-4.71263,MWEMBENI - ULUMBU,,,,,,"-1","0","-1",,,35.6277,-4.71263,
35.74195,-4.83971944,TUMBELO HILL,,,,,,"-1","0","-1",,,35.742,-4.83972,
36.12229,-4.79893,INDINDIRI TANGINI,,,,,,"-1","0","-1",,,36.1223,-4.79893,
35.19783333,-7.78127778,Idodi,,,,,,"-1","0","-1",,,35.1978,-7.78128,
35.06558889,-7.92701944,Mahuninga,,,,,,"-1","0","-1",,,35.0656,-7.92702,
38.8219,-9.96158056,Machang'anja HILL,,,,,,"-1","0","-1",,,38.8219,-9.96158,
38.80491944,-9.89743889,Chikwale,,,,,,"-1","0","-1",,,38.8049,-9.89744,
39.11751111,-9.90458889,Mchichili,,,,,,"-1","0","-1",,,39.1175,-9.90459,
32.68505556,-8.0645,Kapalala,,,,,,"-1","0","-1",,,32.6851,-8.0645,
32.82,-7.743361,Ngwala,,,,,,"-1","0","-1",,,32.82,-7.74336,
37.05047222,-4.70438889,Loonderekes,,,,,,"-1","0","-1",,,37.0505,-4.70439,
37.18996944,-4.85223056,Kitwai,,,,,,"-1","0","-1",,,37.19,-4.85223,
36.49033889,-3.64816111,Naalarami 1,,,,,,"-1","0","-1",,,36.4903,-3.64816,
33.97295,-9.11389,Ujuni Hill,,,,,,"-1","0","-1",,,33.9729,-9.11389,
34.07172222,-9.02794444,Ikuwo,,,,,,"-1","0","-1",,,34.0717,-9.02794,
37.75816,-10.74438,Liwangula,,,,,,"-1","0","-1",,,37.7582,-10.7444,
36.82241111,-10.60535,Kalulu,,,,,,"-1","0","-1",,,36.8224,-10.6053,
36.46251111,-2.61976944,Mundarara,,,,,,"-1","0","-1",,,36.4625,-2.61977,
35.38626944,-6.87731944,CHINUGULU,,,,,,"-1","0","-1",,,35.3863,-6.87732,
35.30955,-6.76813,Manda Sec/s,,,,,,"-1","0","-1",,,35.3096,-6.76813,
35.24021111,-8.08416111,Ufyambe,,,,,,"-1","0","-1",,,35.2402,-8.08416,
35.15491667,-8.77994444,Isaula,,,,,,"-1","0","-1",,,35.1549,-8.77994,
31.15763889,-1.82769444,RUGU PS,,,,,,"-1","0","-1",,,31.1576,-1.82769,
31.16778,-1.79119,MISHA,,,,,,"-1","0","-1",,,31.1678,-1.79119,
31.26155556,-2.65016667,KIRURUMO,,,,,,"-1","0","-1",,,31.2616,-2.65017,
38.03003889,-10.55978889,Kilimarondo Afya,,,,,,"-1","0","-1",,,38.03,-10.5598,
39.36523056,-9.17951944,Kiwawa,,,,,,"-1","0","-1",,,39.3652,-9.17952,
